Episodio,Q-learning,Sarsa (1-step),Sarsa (8-step),Multi-goal Q-learning,Multi-goal Sarsa
489,200.61,707.9,311.34,195.34,217.92
490,182.47,842.2,268.86,198.9,205.37
491,208.74,911.9,290.23,196.41,236.11
492,225.62,782.79,335.32,226.65,215.49
493,180.29,885.65,371.04,219.9,214.41
494,174.35,921.72,211.01,193.2,217.58
495,180.66,828.53,305.09,206.79,226.15
496,186.17,907.12,235.72,219.26,232.8
497,210.78,886.89,336.62,208.24,214.76
498,203.9,866.2,313.13,228.47,197.18
499,191.73,894.81,375.95,199.68,202.31
500,201.3,956.68,275.54,226.82,191.88
